entry,set,layer,arm_A,arm_B,arm_C,arm_A_score,arm_B_score,arm_C_score
006L24,poetry,24, poetic |  poetry | ... |   |  poems |  poets |  poem |  Poetry |  rhyme | ly,ly |  poetic |   | ... |  poetry | a | icles | ся | iful |  Poetry,... |   | … | ta | .. | a | __ | — | // |   ,,,
007L00,poetry,0,"  | , | . | ... |  ( | - | / | 
 | ' | (","ly | ""-- | (er | jenigen | an |  


 |  




 | ."","" | -but | ,",ly | raries | ся | –and |  Weiner | an | 倡廉 | jenigen | aldo | igor,,,
007L06,poetry,6,ly | zeitig | но | ся | 써 | ward | jenigen | lich | imately | raries,  | ... | . | - | ( |   | / |  ( | ! | 	,ly | alak | beau | imately | 加拿大 | zeitig | jenigen |  rval |  skept | edal,,,
007L12,poetry,12,"... |  ... | ly | alak | 
 |  
 | ..., |  poetic | umbles |  poetry","  | ... | s | � | . | ed | � | 
 | - |  
",ly | alak | quit | но | ... | ו | ighbor | ward | iful | lich,,,
007L18,poetry,18,� | ... |   | < |     | .. | __ |    | // | …,ly |   | 데요 | haps | iful |  poetic | fully | alak | LY | hips,"  | ... | … | ly |  poetic |  
 |  poetry | haps | —but |  indeed",,,
007L24,poetry,24, poetic |  poetry |  poem |  poets |  Poetry |  poems |  rhyme | ... |  poet |  verse,... | … |   |  rhyme | .. | 	 | — | ta | // |        ,ly |  poetic |  poetry |  Poetry |   |  poets | ся | iful |  lyric | icles,,,
008L00,multihop,0,"  | ... | - |  ( | / | . | , | ' | 
 | ?"," "" | ..."" |  ""... | !"" |  **"" | -"" | ："" | ."" |  ..."" |  ""--",ness | ação | tures | ization | ами | ses | ties | iest | sel | 来得及,,,
008L06,multihop,6," "" |  ("" | s |  ,"" | -"" |  ""( |  ""-- | ,"" | "" | —""","s |  "" | ization | ynec | anceled | —"" | ness | spez | sburg | niest","  | ... |  "" | "" | . | … |  ( | 
 | , |  ",,,
008L12,multihop,12,"ynec | ization | anceled | Canceled | ness | iest | eness | ല് | izer |  """," "" | "" |  ("" |  ,"" |  """" | -"" |  ""-- |  ""( | ("" | s","
 | "" |   | ... |  ( |  "" | . | - | … | :",,,
008L18,multihop,18," "" | "" | ="" | “ |  """" | ("" | ."" | -"" | !"" | —""","ness | —"" | anceled | eness |  "" | ynec | s | ьте |  poop | ousel","... | 
 | "" | . | … | ly | S |  "" | J | y",,,
008L24,multihop,24," "" | "" |  """" | “ |  \"" | ="" | -"" | ."" | ,"" | ″","... | . | S | … | 
 | M | J | B | _ | ("," "" | izer | ness | eness | anceled | ynec | ousel | ьте | arium | anan",,,
009L00,typo,0,"  | , | . | - | 
 |  ( | / | : | <|endoftext|> | ?",써 | ally | naire | て | اً | ্ড | ALLY | ation | ized | nement,ally | naire |  seperate |  alot | ality | 써 |  seper | て | naires | aylor,,,
009L06,typo,6,"  | / |   | ... |  ( | l | “ | 
 |  * | f",ally |  alot |  seperate | naire |  thats |  seper | ALLY |  isnt | ation |  didnt,ally | naire | اً | ation | ALLY | て | ly |  alot | nement | ition,,,
009L12,typo,12,ally | ation | て |  alot | ly |  seperate |  isnt | naire | ALLY |  seper," alot |  seperate |  "" |  , | ally | e |  isnt |  seper |   | -","... | “ | : |  "" | / |   |  ` | _ |  c |  *",,,
009L18,typo,18,... | … |   |  ` | uh | .. |  ... | 充 | 推 | 与其,"e |  alot |  "" |  , | 
 | l | ally |  thats |  isnt | y", alot | ally |  thats | ation |  isnt | ly | e |  didnt | て |  doesnt,,,
009L24,typo,24,"... | ary | __ | ette | l |  ` | ad | 旨在 |  "" |  -", alot |  thats | e | ally |  isnt | ation | ly |  succesfully |  didnt |  seperate," "" | e |  , | - | l | 
 |  - |  alot |   |  to",,,
